破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 6 	 1 	 0.29881 	 1 	 55.2087
2 	 12 	 1 	 0.81428 	 1 	 55.2087
3 	 17 	 1 	 0.66991 	 1 	 49.3802
4 	 18 	 1 	 0.54762 	 2 	 254
5 	 28 	 1 	 0.57481 	 1 	 60.4781
6 	 34 	 1 	 0.18761 	 1 	 55.2087
7 	 36 	 1 	 0.30279 	 1 	 49.3802
8 	 37 	 1 	 0.66209 	 2 	 304.8
9 	 38 	 1 	 0.038817 	 1 	 55.2087
10 	 110 	 1 	 0.51321 	 2 	 254
11 	 125 	 1 	 0.95283 	 1 	 55.2087
