破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 12 	 1 	 0.4234 	 2 	 254
2 	 17 	 1 	 0.45011 	 1 	 49.3802
3 	 17 	 2 	 0.13222 	 1 	 49.3802
4 	 18 	 1 	 0.32387 	 1 	 143.3042
5 	 22 	 1 	 0.96675 	 1 	 49.3802
6 	 30 	 1 	 0.12633 	 1 	 55.2087
7 	 34 	 1 	 0.96378 	 1 	 55.2087
8 	 35 	 1 	 0.62168 	 1 	 55.2087
9 	 113 	 1 	 0.28862 	 1 	 55.2087
