破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 2 	 1 	 0.075278 	 1 	 60.4781
2 	 6 	 1 	 0.060467 	 1 	 55.2087
3 	 11 	 1 	 0.36673 	 1 	 49.3802
4 	 11 	 2 	 0.10561 	 2 	 203.2
5 	 38 	 1 	 0.42621 	 1 	 143.3042
6 	 113 	 1 	 0.66391 	 1 	 55.2087
7 	 115 	 1 	 0.048704 	 1 	 143.3042
8 	 116 	 1 	 0.21555 	 1 	 55.2087
9 	 125 	 1 	 0.83709 	 1 	 55.2087
