破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 5 	 1 	 0.21368 	 1 	 55.2087
2 	 12 	 1 	 0.096142 	 2 	 254
3 	 20 	 1 	 0.6434 	 1 	 49.3802
4 	 21 	 1 	 0.81654 	 1 	 49.3802
5 	 22 	 1 	 0.48959 	 1 	 49.3802
6 	 22 	 2 	 0.2401 	 1 	 49.3802
7 	 27 	 1 	 0.27861 	 1 	 49.3802
8 	 32 	 1 	 0.36245 	 1 	 85.6608
9 	 113 	 1 	 0.73838 	 1 	 55.2087
10 	 116 	 1 	 0.7085 	 2 	 254
