破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 3 	 1 	 0.99254 	 1 	 69.8341
2 	 5 	 1 	 0.33036 	 1 	 85.6608
3 	 11 	 1 	 0.52332 	 1 	 76.6174
4 	 31 	 1 	 0.84146 	 1 	 60.4781
5 	 110 	 1 	 0.57247 	 1 	 55.2087
6 	 113 	 1 	 0.25538 	 1 	 85.6608
7 	 113 	 2 	 0.077962 	 1 	 55.2087
8 	 125 	 1 	 0.42957 	 1 	 55.2087
9 	 125 	 2 	 0.18987 	 2 	 254
